,Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,Elite%,review_id,1_weight,2_weight,3_weight,4_weight,5_weight,6_weight,7_weight,8_weight,fpl_id,Value,real_id,team,Missing
1,M,1,Fábio Vieira,5.5,5.5,Arsenal,10.14,0.5539999999999999,10.14,0.596,11.94,0.762,12.54,0.6940000000000001,12.54,0.616,13.74,1.058,14.34,1.056,14.34,2.6956249000000003,0.0,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.0,5.5,1,0,0.0
2,F,2,G.Jesus,7.0,7.0,Arsenal,35.8,2.5,37.0,2.146,38.8,2.7,39.4,2.234,40.6,1.82,40.6,3.332,40.0,3.24,40.0,6.743581525,0.02,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.0,7.0,2,0,0.0
3,D,3,Gabriel,6.0,6.0,Arsenal,89.4,4.758,87.6,3.3479999999999994,85.8,4.156,84.6,2.978,82.8,2.046,82.8,4.547999999999999,81.6,4.468,82.2,8.638218937499998,0.12,3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3.0,6.0,3,0,0.0
4,F,4,Havertz,8.0,8.0,Arsenal,79.0,5.082,76.6,4.1,76.0,4.829999999999999,74.2,3.7880000000000003,73.0,3.008,73.6,5.636,74.2,5.56,74.2,10.9360906625,0.15,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.0,8.0,4,0,0.0
5,G,5,Hein,4.0,4.0,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,5,0,0.0
6,D,6,J.Timber,5.5,5.5,Arsenal,51.6,1.018,54.6,0.9940000000000001,57.0,1.506,57.0,1.1500000000000001,57.0,0.852,56.4,1.694,57.0,1.72,57.6,4.054899325,0.02,6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.0,5.5,6,0,0.0
7,M,7,Jorginho,5.0,5.0,Arsenal,33.8,1.376,34.4,1.244,34.4,1.358,33.2,1.16,35.0,1.06,35.0,1.5419999999999998,36.2,1.568,34.4,3.5123268874999996,0.0,7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7.0,5.0,7,0,0.0
8,D,8,Kiwior,5.0,5.0,Arsenal,41.4,0.36200000000000004,40.8,0.308,39.6,0.31799999999999995,39.6,0.24799999999999997,40.2,0.21,40.8,0.376,40.8,0.4,40.8,0.8484851749999999,0.0,8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8.0,5.0,8,0,0.0
9,M,9,Martinelli,7.0,7.0,Arsenal,48.6,3.4960000000000004,49.2,2.918,48.6,3.4120000000000004,49.2,2.7680000000000002,49.2,2.21,47.4,3.906,48.0,3.9119999999999995,48.0,7.6259259125,0.04,9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,9.0,7.0,9,0,0.0
10,M,10,Nelson,5.0,5.0,Arsenal,1.4,0.096,0.8,0.032,0.8,0.036,1.4,0.092,1.4,0.07799999999999999,2.0,0.14600000000000002,2.0,0.166,2.0,0.358723175,0.0,10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10.0,5.0,10,0,0.0
