Pos,ID,Name,BV,SV,Team,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,Elite%,relevant_players_wc6.ID
G,39,Gauci,4,4,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
D,40,Hause,4,4,Aston Villa,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,1,0.132204,0,
M,41,Iling Jr,5.4,5.4,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,42,Kamara,5,5,Aston Villa,19,0.6,43,1.28,67,1.9,65,1.99,63,1.69,63,1.62,63,1.93,61,6.652800125,0,
D,43,Kesler-Hayden,4,4,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
D,45,Maatsen,4.9,4.9,Aston Villa,36,1.6,37,1.45,38,1.49,37,1.75,41,1.15,41,1.03,42,1.94,43,6.311460438,0,
G,46,Marschall,4,4,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G,47,Martinez,5,5,Aston Villa,94,3.7,94,3.36,92,3.47,92,3.61,91,3.05,92,3.05,91,3.58,90,12.41359981,0.01,
M,48,McGinn,5.3,5.3,Aston Villa,0,0,0,0,31,1.34,64,3.05,77,2.81,75,2.55,74,3.47,74,11.61814556,0,
D,49,Mings,4.4,4.4,Aston Villa,4,0.15,10,0.3,18,0.59,21,0.82,20,0.49,22,0.47,23,0.91,24,2.931531125,0,
D,50,Nedeljkovic,4,4,Aston Villa,11,0.46,7,0.24,5,0.2,6,0.24,6,0.18,9,0.24,8,0.33,9,1.1468515,0.02,
G,51,Olsen,4.5,4.5,Aston Villa,0,0,1,0.05,3,0.1,3,0.13,3,0.12,3,0.11,4,0.15,4,0.639120813,0,
M,53,Ramsey,5.5,5.5,Aston Villa,64,3.08,64,2.91,55,2.44,50,2.69,46,1.99,48,1.87,48,2.47,48,8.5673205,0,
M,54,Rogers,5.2,5.1,Aston Villa,80,4.02,78,3.65,76,3.41,73,3.96,72,2.97,72,2.68,71,3.69,70,12.35652756,0.78,54
G,55,Sinisalo,4,4,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
D,56,Sousa,4,4,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,83,Tavernier,5.5,5.5,Bournemouth,78,4.55,76,3.8,73,2.83,73,2.99,72,2.63,70,3.16,70,3.31,72,12.24197144,0,83
M,57,Tielemans,5.5,5.5,Aston Villa,82,3.41,79,3.22,76,2.93,73,3.29,70,2.53,70,2.35,70,3.08,70,10.345592,0,
M,78,Semenyo,5.6,5.6,Bournemouth,78,4.61,77,3.97,74,2.85,73,3.05,72,2.66,70,3.17,71,3.4,70,12.14840188,0.03,78
F,58,Watkins,9,9,Aston Villa,84,4.84,83,4.54,82,4.23,81,5.22,80,3.9,79,3.53,79,4.87,80,16.59787681,0.09,58
D,59,Aarons,4.4,4.4,Bournemouth,10,0.43,14,0.55,17,0.47,20,0.59,19,0.48,18,0.6,20,0.7,23,2.880285,0,
M,60,Adams,4.9,4.9,Bournemouth,0,0,0,0,0,0,0,0,12,0.38,26,0.82,32,1.02,31,3.657297063,0,
M,61,Anthony,4.5,4.5,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,62,Brooks,4.9,4.9,Bournemouth,3,0.27,4,0.31,6,0.35,7,0.41,8,0.41,8,0.48,8,0.51,7,1.902800375,0,
M,63,Christie,4.9,4.9,Bournemouth,67,2.86,67,2.55,64,2.05,62,2.08,58,1.79,54,1.95,54,2.05,55,7.587881313,0,
M,64,Cook,5,5,Bournemouth,89,2.99,85,2.56,81,2.11,77,2.07,74,1.87,73,2.09,73,2.14,71,7.7640345,0,
F,65,Enes Ünal,5.4,5.4,Bournemouth,27,2.03,29,1.87,32,1.53,33,1.74,32,1.51,31,1.78,33,1.99,33,7.383686375,0,
M,66,Faivre,5,5,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,67,H.Traorè,4.5,4.5,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
D,68,Hill,4,4,Bournemouth,0,0,2,0.05,3,0.07,3,0.07,4,0.07,5,0.13,5,0.14,6,0.700373438,0,
F,69,Jebbison,4.5,4.5,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,
D,70,Kerkez,4.5,4.5,Bournemouth,83,3.58,80,2.91,77,1.92,73,1.9,74,1.55,75,2.32,73,2.5,72,8.542290125,0,
D,72,Mepham,4.4,4.4,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G,73,Neto,4.3,4.3,Arsenal,24,1.13,2,0.1,0,0,3,0.14,4,0.15,4,0.17,4,0.17,4,0.562603313,0,
M,74,O.Dango,5,5,Bournemouth,31,1.94,34,1.83,36,1.57,38,1.73,39,1.62,36,1.75,38,1.92,38,7.159730938,0,
G,75,Paulsen,4,4,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,
M,76,Philip,4.8,4.8,Bournemouth,16,0.96,20,1.05,23,0.98,28,1.23,26,1.02,25,1.16,22,1.08,23,4.255744063,0,
M,77,Scott,4.9,4.9,Bournemouth,44,2.04,45,1.85,50,1.7,50,1.74,46,1.53,44,1.65,41,1.64,42,6.169248188,0,
D,79,Senesi,4.8,4.8,Bournemouth,70,2.86,68,2.36,68,1.65,69,1.65,66,1.29,66,1.94,65,2.09,65,7.192852188,0,
M,80,Sinisterra,5,5,Bournemouth,19,1.26,19,1.15,22,1.09,23,1.17,25,1.14,28,1.44,26,1.46,26,5.381206688,0,
F,82,Solanke,7.5,7.5,Spurs,86,4.6,85,4.66,81,5.67,76,4.27,75,4.77,74,5.52,74,2.98,73,17.00883275,0.28,82
D,81,Smith,4.5,4.5,Bournemouth,35,1.44,36,1.3,38,1.02,38,1.02,38,0.86,37,1.16,38,1.28,37,4.390998125,0,
G,84,Travers,4.4,4.4,Bournemouth,1,0.06,1,0.05,3,0.11,4,0.12,3,0.11,4,0.13,4,0.14,4,0.649142313,0,
D,85,Zabarnyi,4.5,4.5,Bournemouth,87,3.08,84,2.54,81,1.69,79,1.66,79,1.35,78,1.97,78,2.19,77,7.533987375,0,
D,86,Ajer,4.5,4.5,Brentford,59,2.18,60,2.43,58,1.38,55,2.44,52,1.69,51,1.97,54,1.86,53,6.3957605,0,
M,87,Brierley,4.5,4.5,Brentford,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
D,88,Collins,4.5,4.5,Brentford,83,2.86,82,3.22,78,1.67,74,3.08,74,2.15,74,2.7,72,2.31,71,7.905326688,0,
M,89,Damsgaard,5,5,Brentford,71,3.12,68,2.96,60,2.22,50,2.46,45,1.85,46,2.17,46,1.98,45,7.227043938,0,
M,90,Dasilva,4.9,4.9,Brentford,0,0,0,0,15,0.61,22,1.12,23,1.04,23,1.15,24,1.12,24,4.037373563,0,
G,91,Flekken,4.5,4.5,Brentford,94,3.54,93,3.72,93,3.18,92,3.76,91,3.31,90,3.44,91,3.4,91,12.46126606,0.28,91
D,92,Henry,4.4,4.4,Brentford,0,0,0,0,33,0.81,64,2.88,77,2.4,75,2.89,75,2.59,73,8.78708525,0,
D,93,Hickey,4.4,4.4,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,94,Janelt,4.9,4.9,Brentford,83,2.78,79,2.67,76,2.19,71,2.65,70,2.21,71,2.46,70,2.32,69,8.205088188,0,
M,95,Jensen,5.4,5.4,Brentford,0,0,0,0,27,0.98,59,2.59,67,2.42,65,2.72,65,2.5,67,9.34531625,0,
D,96,Ji-soo,4,4,Brentford,0,0,1,0.03,2,0.03,1,0.03,2,0.04,2,0.05,2,0.05,3,0.221735375,0,
M,97,Konak,4.5,4.5,Brentford,20,0.84,17,0.73,11,0.45,6,0.27,4,0.21,6,0.27,5,0.24,5,0.850161625,0,
M,98,Lewis-Potter,5,5,Brentford,68,3.49,65,3.3,52,2.25,44,2.69,39,1.97,37,2.21,37,1.99,35,6.596328375,0,
M,99,Mbeumo,7.2,7.2,Brentford,89,6.16,86,5.79,83,4.31,82,6,81,4.48,79,5.51,77,4.66,75,16.84822675,0.19,99
D,100,Mee,4.4,4.4,Brentford,15,0.56,20,0.85,18,0.48,16,0.69,18,0.59,18,0.74,19,0.71,19,2.498641375,0,
M,101,Nørgaard,4.9,4.9,Brentford,65,2.21,83,2.77,80,2.25,77,2.8,75,2.35,73,2.55,72,2.32,69,8.434416125,0,
M,102,Onyeka,4.9,4.9,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,103,Peart-Harris,4.5,4.5,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
D,104,Pinnock,4.5,4.5,Brentford,90,3.1,86,3.33,84,1.78,82,3.52,81,2.4,81,2.93,79,2.61,78,8.92885975,0.02,104
D,105,Roerslev,4.5,4.5,Brentford,65,2.43,61,2.55,54,1.37,49,2.26,49,1.64,50,2.02,47,1.74,49,6.3127375,0,
M,106,Schade,5.4,5.4,Brentford,63,3.48,66,3.63,61,2.72,57,3.54,56,2.68,57,3.28,45,2.39,41,7.618419875,0,
F,107,Thiago,5.9,5.9,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
F,108,Toney,7.3,7.3,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G,109,Valdimarsson,4,4,Brentford,0,0,2,0.08,2,0.07,3,0.12,4,0.14,4,0.16,4,0.15,3,0.464363438,0.41,109
F,110,Wissa,6,6,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,26,1.39,56,11.937773,0.01,
M,111,Yarmoliuk,4.5,4.5,Brentford,40,1.63,37,1.53,27,1.05,15,0.72,12,0.5,14,0.67,13,0.6,12,2.040904813,0,
D,112,Zanka,4.5,4.5,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,113,Adingra,5.5,5.5,Brighton,32,1.55,33,1.74,28,1.39,27,1.71,30,1.34,31,1.35,29,1.54,27,5.9085065,0,
M,114,Baker-Boaitey,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,115,Baleba,5,5,Brighton,63,1.84,60,1.91,59,1.77,55,1.99,55,1.5,51,1.47,51,1.63,52,6.330953563,0,
D,116,Barco,4,4,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,
M,117,Buonanotte,5,5,Leicester,31,1.13,31,1.42,33,1.53,33,1.52,32,1.41,34,1.33,34,1.43,33,4.392205063,0,
M,118,Cozier-Duberry,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,119,Dahoud,4.9,4.9,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
D,120,Dunk,4.6,4.5,Brighton,91,2.22,90,2.64,88,2.3,87,4.12,87,1.63,86,2.04,85,2.9,84,12.40880963,0.45,120
M,121,Enciso,5.4,5.4,Brighton,21,1.11,17,0.99,11,0.63,10,0.66,13,0.63,12,0.6,14,0.77,14,3.22711975,0,
D,122,Estupiñan,5,5,Brighton,59,1.86,66,2.46,62,2.06,58,3.14,56,1.44,57,1.73,56,2.32,57,9.881838,0,
F,123,Ferguson,5.5,5.5,Brighton,25,1.46,25,1.66,19,1.12,19,1.39,20,1.07,19,0.97,21,1.29,22,5.158664313,0,
M,124,Gilmour,5,5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,125,Gross,6.5,6.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,126,Hinshelwood,5,5,Brighton,41,1.47,41,1.62,37,1.39,36,1.63,36,1.2,34,1.15,37,1.39,39,5.582020125,0,
M,127,I.Osman,5,5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
D,128,Igor,4.4,4.4,Brighton,7,0.17,8,0.24,10,0.28,11,0.46,13,0.29,12,0.32,13,0.44,15,1.874289188,0,
F,129,João Pedro,5.6,5.5,Brighton,0,0,23,1.41,68,3.61,69,4.74,67,3.09,67,3.04,64,3.63,64,14.8117165,0.84,129
M,130,Kozlowski,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
D,131,Lamptey,4.5,4.5,Brighton,10,0.38,9,0.4,8,0.34,7,0.42,8,0.3,7,0.3,9,0.4,7,1.556187563,0,
M,132,March,6.5,6.5,Brighton,0,0,0,0,8,0.44,19,1.27,23,1.13,23,1.11,24,1.37,24,5.356579563,0,
M,133,Mazilu,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,134,Milner,5,5,Brighton,0,0,0,0,7,0.27,15,0.68,17,0.67,20,0.76,20,0.82,21,3.397091563,0,
M,135,Minteh,5.5,5.5,Brighton,65,2.94,59,3.16,57,2.85,53,3.33,52,2.24,50,2.13,48,2.54,52,10.59397613,0.12,135
M,136,Mitoma,6.7,6.7,Brighton,84,3.44,81,3.79,77,3.33,75,4.17,73,2.74,73,2.74,73,3.33,72,13.34600113,0.02,
M,137,Moder,4.4,4.4,Brighton,1,0.09,2,0.12,0,0,1,0.11,0,0,0,0,1,0.09,2,0.509194563,0,
F,138,O’Mahony,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
D,139,Offiah,4,4,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,140,Peupion,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,141,Sarmiento,4.9,4.9,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G,142,Steele,4.5,4.5,Brighton,4,0.13,3,0.12,5,0.16,6,0.25,6,0.2,7,0.24,7,0.28,8,1.21947825,0,
F,143,Undav,5.5,5.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
D,144,Van Hecke,4.5,4.5,Brighton,91,1.95,89,2.28,86,2,85,3.64,83,1.4,82,1.8,81,2.5,82,10.80841344,0,144
D,145,Veltman,4.5,4.5,Brighton,63,1.56,57,1.71,56,1.52,52,2.4,50,1.06,54,1.35,51,1.78,48,7.208312938,0,
G,146,Verbruggen,4.5,4.5,Brighton,91,3.17,92,3.15,90,3.12,89,3.67,88,2.92,88,2.88,87,3.31,87,12.60778994,0.04,146
D,147,Webster,4.4,4.4,Brighton,11,0.28,12,0.34,13,0.35,13,0.5,14,0.3,14,0.36,15,0.52,16,2.364847438,0,
F,148,Welbeck,5.8,5.8,Brighton,67,3.32,57,3.34,48,2.46,50,3.08,47,2.04,44,1.96,45,2.37,45,9.694626938,0.02,
M,149,Wieffer,4.9,4.9,Brighton,86,2.42,82,2.56,80,2.32,77,2.77,77,2.04,78,2.09,78,2.41,74,9.042968688,0,
M,150,Andrey Santos,4.5,4.5,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,151,Ângelo,4.5,4.5,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G,152,Arrizabalaga,4.5,4.5,Bournemouth,94,3.67,93,3.59,92,3.08,91,3.15,91,2.97,91,3.24,90,3.25,90,12.057084,0,152
D,153,B.Badiashile,4.4,4.4,Chelsea,4,0.13,8,0.3,9,0.2,11,0.37,11,0.3,12,0.35,12,0.45,13,1.616011438,0,
G,154,Bergström,4,4,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G,155,Bettinelli,4,4,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
F,156,Broja,5.4,5.4,Everton,0,0,0,0,4,0.26,8,0.52,9,0.62,9,0.56,10,0.64,10,1.93292875,0,
M,157,Caicedo,4.9,4.9,Chelsea,84,2.43,81,2.44,78,1.91,77,2.25,78,2,76,1.98,73,2.13,72,7.644874875,0,
M,158,Casadei,4.5,4.5,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124450625,0,
D,159,Chalobah,4.4,4.4,Crystal Palace,24,0.76,55,1.13,73,2.24,71,1.77,70,2.3,73,2.66,67,1.66,64,6.337428313,0,
D,160,Chilwell,4.8,4.8,Chelsea,5,0.23,6,0.28,5,0.17,6,0.27,5,0.19,5,0.21,6,0.31,6,0.997456563,0,
M,161,Chukwuemeka,4.9,4.9,Chelsea,4,0.3,4,0.26,4,0.27,5,0.34,7,0.4,6,0.33,7,0.43,6,1.576668813,0,
D,162,Colwill,4.5,4.5,Chelsea,88,3.27,84,3.58,82,1.68,80,2.74,79,2.14,80,2.34,80,3.11,79,10.47240481,0.01,162
D,163,Cucurella,5,5,Chelsea,88,3.37,85,3.78,80,1.57,74,2.64,73,1.99,72,2.13,70,2.84,71,9.957474313,0,
F,164,D.D.Fofana,5.4,5.4,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
F,165,Deivid,5,5,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,166,Dewsbury-Hall,5.7,5.7,Chelsea,9,0.45,8,0.42,7,0.29,8,0.4,9,0.43,8,0.36,11,0.55,10,2.025629188,0,
D,167,Disasi,4.4,4.4,Chelsea,8,0.27,12,0.45,12,0.28,11,0.36,12,0.32,11,0.33,12,0.45,13,1.811577313,0,
M,168,Enzo,5,5,Chelsea,86,3.21,84,3.28,83,2.44,80,3.16,82,2.69,81,2.53,80,3.04,80,11.07535969,0,
M,169,Gallagher,5.9,5.9,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
D,170,Gilchrist,4,4,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
D,171,Gusto,4.9,4.9,Chelsea,85,3.49,79,3.79,65,1.53,50,1.99,40,1.31,40,1.36,42,1.87,41,6.226913313,0,
D,172,James,5,5,Chelsea,0,0,0,0,20,0.66,47,2.34,58,2.25,58,2.32,56,3.01,57,10.490592,0,
M,173,Kellyman,4.5,4.5,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,174,Lavia,4.5,4.5,Chelsea,17,0.63,29,1.09,32,1.04,33,1.21,33,1.1,34,1.11,35,1.25,35,4.639755375,0,
F,175,Lukaku,6.3,6.3,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
D,176,M.Sarr,4.5,4.5,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,177,Madueke,6.6,6.6,Chelsea,57,3.23,56,3.26,55,2.46,55,3.24,60,2.89,54,2.48,53,3.03,53,11.10358375,0.01,
F,178,Marc Guiu,4.9,4.9,Chelsea,3,0.27,4,0.36,5,0.35,6,0.52,9,0.61,7,0.48,7,0.56,8,2.304564,0,
M,179,Mudryk,6.3,6.3,Chelsea,8,0.56,10,0.66,11,0.61,11,0.75,23,1.33,14,0.73,14,0.87,14,3.37760575,0,
F,180,N.Jackson,7.7,7.7,Chelsea,70,4.22,66,4.05,65,3.06,63,4.04,64,3.28,60,2.84,60,3.67,59,13.37832725,0,180
M,181,Nkunku,6.1,6.1,Chelsea,32,2.32,32,2.39,35,1.95,32,2.42,36,2.22,33,1.91,34,2.46,34,9.307604063,0.05,
M,182,Palmer,10.6,10.6,Chelsea,87,6.6,82,6.38,81,4.28,81,6.46,80,4.91,80,4.53,78,5.83,77,21.40111481,0.09,182
G,183,Petrović,4.4,4.4,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,184,Renato Veiga,4.5,4.5,Chelsea,8,0.33,8,0.31,7,0.27,9,0.38,10,0.37,10,0.35,11,0.43,12,1.744977938,0,
G,185,Sánchez,4.7,4.7,Chelsea,93,3.58,91,3.72,90,3.05,90,3.24,89,3.1,88,3.08,89,3.47,87,12.07516413,0,185
M,186,Sterling,6.8,6.8,Arsenal,34,2.71,39,3.03,40,2.58,41,2.34,39,2.38,0,0,40,2.8,39,9.520759,0,
D,187,Tosin,4.4,4.4,Chelsea,29,1.06,33,1.4,37,0.79,33,1.14,37,1.03,38,1.12,38,1.49,38,5.012009125,0,
M,188,Ugochukwu,4.5,4.5,Southampton,49,1.51,49,1.36,48,1.59,41,1.18,42,1.42,42,1.36,43,1.28,43,3.705288,0,
D,189,W.Fofana,4.5,4.5,Chelsea,75,2.83,75,3.26,70,1.44,69,2.36,64,1.75,63,1.81,62,2.43,63,8.1875285,0,
M,190,Ahamada,4.5,4.5,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
D,191,Andersen,4.4,4.4,Fulham,91,2.71,86,1.18,85,2.72,84,2.69,82,2.99,80,2.32,81,3.31,81,7.485933188,0.01,191
M,192,J.Ayew,5.3,5.3,Leicester,69,2.22,68,3.08,68,3.11,66,3.04,65,2.88,63,2.3,63,2.61,59,9.68807375,0,
M,193,C.Doucouré,4.9,4.9,Crystal Palace,0,0,0,0,9,0.34,24,0.88,34,1.23,35,1.31,34,1.17,35,4.5285435,0,
D,194,C.Richards,4.5,4.5,Crystal Palace,64,1.99,52,1.08,42,1.29,42,1.08,42,1.43,41,1.5,40,1,36,3.684118125,0,
