Pos,ID,Name,BV,SV,Team,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts,Elite%
D,471,Ahmedhodžić,4.3,4.3,Sheffield Utd,86,0.65,82,1.48,78,1.77,74,4.09,79,1.31,76,2.44,81,1.74,73,1.31,0.00
G,472,Amissah,3.9,3.9,Sheffield Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,473,Baldock,3.8,3.8,Sheffield Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,20,0.52,42,0.91,0.01
D,474,Basham,3.9,3.9,Sheffield Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,475,Berge,4.6,4.6,Burnley,84,2.58,81,2.26,79,2.38,77,2.37,76,2.02,76,2.28,74,1.96,74,2.31,0.00
D,476,Bogle,4.5,4.5,Sheffield Utd,88,0.81,68,1.42,53,1.38,64,3.88,81,1.53,81,2.82,75,1.84,59,1.28,0.00
F,477,Brewster,4.9,4.9,Sheffield Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,478,Coulibaly,4.4,4.4,Sheffield Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,479,A.Davies,4.0,4.0,Sheffield Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,480,Egan,4.3,4.3,Sheffield Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,21,0.48,27,0.52,0.00
M,481,Fleck,4.9,4.9,Sheffield Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,482,Foderingham,4.5,4.5,Sheffield Utd,1,0.05,4,0.12,4,0.13,4,0.29,5,0.16,5,0.19,7,0.23,6,0.20,0.00
F,483,Jebbison,4.8,4.8,Sheffield Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,0.13,2,0.14,1,0.12,0.00
D,484,Lowe,4.3,4.3,Sheffield Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,485,McBurnie,5.4,5.4,Sheffield Utd,63,2.37,60,2.59,60,2.64,58,5.58,56,2.41,56,2.79,55,2.22,53,2.47,0.00
F,486,Ndiaye,5.5,5.5,Sheffield Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,487,Norrington-Davies,3.9,3.9,Sheffield Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,488,Norwood,4.8,4.8,Sheffield Utd,22,0.78,32,1.13,42,1.43,38,2.81,31,1.07,27,1.07,30,1.03,26,0.96,0.00
M,489,Osborn,4.8,4.8,Sheffield Utd,60,1.76,60,1.93,62,2.02,60,4.12,55,1.75,56,2.00,57,1.81,54,1.77,0.00
F,490,Osula,4.3,4.3,Sheffield Utd,29,1.22,28,1.31,30,1.40,29,2.91,31,1.40,30,1.53,29,1.29,31,1.49,0.00
G,491,Austin,3.9,3.9,Spurs,1,0.04,2,0.07,1,0.04,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,492,Bentancur,5.4,5.4,Spurs,40,1.52,42,1.75,44,1.64,0,0.00,42,1.45,42,2.85,43,3.38,43,1.75,0.00
M,493,Bissouma,5.0,5.0,Spurs,82,2.48,77,2.68,78,2.32,0,0.00,74,2.08,74,4.05,72,4.67,70,2.44,0.00
M,494,Bryan,4.9,4.9,Spurs,0,0.00,0,0.00,1,0.12,0,0.00,2,0.16,2,0.35,2,0.40,2,0.18,0.00
D,495,Davies,4.3,4.3,Spurs,6,0.20,11,0.47,14,0.43,0,0.00,16,0.46,18,0.93,19,1.52,18,0.83,0.00
D,496,Dier,4.2,4.2,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,497,E.Royal,4.3,4.3,Spurs,7,0.20,10,0.43,12,0.34,0,0.00,15,0.42,17,0.81,17,1.23,17,0.75,0.00
G,498,Forster,3.8,3.8,Spurs,0,0.00,0,0.00,1,0.05,0,0.00,3,0.11,4,0.27,4,0.32,4,0.16,0.00
M,499,Højbjerg,5.1,5.1,Spurs,12,0.39,15,0.54,16,0.52,0,0.00,18,0.57,19,1.17,20,1.41,22,0.82,0.00
F,500,Kane,12.5,12.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,501,Kulusevski,6.8,6.8,Spurs,75,3.50,74,3.92,70,3.28,0,0.00,69,2.77,68,5.48,68,6.79,66,3.54,0.00
G,502,Lloris,4.7,4.7,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,503,Lo Celso,4.8,4.8,Spurs,2,0.20,4,0.35,5,0.37,0,0.00,7,0.42,7,0.85,7,1.01,7,0.51,0.00
M,504,Maddison,8.0,8.0,Spurs,84,4.77,80,5.33,77,4.47,0,0.00,77,3.73,77,7.48,77,9.53,76,5.10,0.19
M,505,Ndombele,4.4,4.4,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,506,Pedro Porro,5.9,5.8,Spurs,89,3.29,87,4.64,86,2.88,0,0.00,83,2.46,81,4.13,82,6.90,81,4.18,0.40
D,507,Perišić,4.7,4.7,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,508,Reguilón,4.4,4.4,Brentford,85,3.07,81,2.29,77,4.06,74,2.74,74,2.30,73,2.83,71,2.12,71,2.51,0.09
M,509,Richarlison,6.9,6.9,Spurs,71,4.76,69,5.38,67,4.51,0,0.00,66,3.71,65,7.25,65,9.46,65,5.16,0.12
D,510,Rodon,4.0,4.0,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,511,Romero,5.2,5.2,Spurs,90,2.50,87,3.67,82,2.03,0,0.00,81,1.86,80,2.97,80,5.11,81,3.19,0.00
D,512,Sánchez,4.4,4.4,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,513,Sarr,4.4,4.4,Spurs,60,2.40,58,2.60,55,2.19,0,0.00,56,1.97,55,3.86,53,4.52,53,2.40,0.00
D,514,Sessegnon,4.4,4.4,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,515,Skipp,4.5,4.5,Spurs,3,0.13,5,0.19,6,0.22,0,0.00,7,0.26,7,0.52,8,0.60,9,0.34,0.00
M,516,Son,10.1,9.8,Spurs,91,5.79,88,6.56,86,5.56,0,0.00,84,4.53,86,9.28,85,11.80,83,6.29,0.90
D,517,Spence,4.0,4.0,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,518,Tanganga,4.0,4.0,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,519,Udogie,5.0,5.0,Spurs,88,3.02,83,4.18,81,2.51,0,0.00,79,2.21,77,3.65,77,6.05,76,3.67,0.20
G,520,Vicario,5.3,5.3,Spurs,94,3.36,93,3.89,92,3.19,0,0.00,92,3.13,90,6.00,91,6.75,91,3.69,0.00
G,521,Whiteman,3.9,3.9,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,522,N.Aguerd,4.4,4.4,West Ham,71,1.76,68,2.09,67,2.33,67,2.24,67,1.40,67,1.46,67,2.74,66,0.86,0.00
F,523,Antonio,5.7,5.7,West Ham,56,2.89,49,2.48,50,2.75,50,2.41,50,2.31,50,2.24,46,2.95,50,1.86,0.00
G,524,Areola,4.3,4.3,West Ham,68,2.32,92,3.36,93,3.52,92,3.53,92,3.03,91,3.09,91,3.62,91,2.94,0.50
M,525,Benrahma,5.6,5.6,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,526,Bowen,7.9,7.9,West Ham,86,4.29,81,4.06,79,4.39,78,3.76,77,3.49,77,3.36,77,5.10,76,2.63,0.05
M,527,Cornet,5.2,5.2,West Ham,9,0.58,10,0.58,15,0.92,18,1.01,18,0.95,19,1.00,21,1.40,27,1.12,0.00
D,528,Coufal,4.6,4.6,West Ham,81,1.96,78,2.34,75,2.56,74,2.38,72,1.46,72,1.51,71,2.86,71,0.90,0.00
M,529,Coventry,4.3,4.3,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,530,Cresswell,4.2,4.2,West Ham,13,0.43,13,0.47,14,0.57,15,0.57,16,0.47,18,0.53,19,0.88,20,0.43,0.00
M,531,Downes,5.0,5.0,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,532,Emerson,4.4,4.4,West Ham,85,2.21,82,2.63,81,2.94,80,2.75,80,1.74,78,1.77,77,3.34,76,1.02,0.00
G,533,Fabianski,4.2,4.2,West Ham,26,0.89,3,0.11,2,0.09,2,0.09,3,0.10,4,0.12,4,0.15,4,0.13,0.00
M,534,P.Fornals,4.6,4.6,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,535,Ings,5.6,5.6,West Ham,15,0.94,12,0.73,13,0.84,14,0.84,13,0.78,13,0.73,15,1.14,16,0.79,0.00
D,536,Johnson,4.4,4.4,West Ham,19,0.51,21,0.68,22,0.81,24,0.84,26,0.63,26,0.65,27,1.14,30,0.50,0.00
D,537,Kehrer,4.2,4.2,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,538,Mubama,4.1,4.1,West Ham,2,0.13,2,0.12,2,0.14,3,0.22,4,0.24,4,0.23,5,0.32,5,0.28,0.00
M,539,L.Paquetá,6.0,6.0,West Ham,87,4.06,82,3.75,80,4.13,79,3.51,77,3.29,77,3.15,76,4.61,77,2.53,0.00
M,540,Rice,5.5,5.5,Arsenal,87,3.76,84,2.95,80,3.00,81,5.80,81,2.64,78,3.14,78,2.63,77,2.94,0.00
F,541,Scamacca,6.0,6.0,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,542,Souček,4.9,4.9,West Ham,90,2.86,82,2.60,81,2.71,82,2.56,82,2.38,80,2.31,80,3.00,81,2.03,0.00
M,543,Vlašić,4.5,4.5,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,544,Zouma,4.5,4.5,West Ham,39,1.09,43,1.42,42,1.56,43,1.52,44,1.02,44,1.06,46,1.95,45,0.68,0.00
D,545,Aït-Nouri,4.6,4.6,Wolves,82,3.36,78,3.16,76,2.81,75,5.03,72,3.53,72,1.14,72,3.46,72,1.25,0.05
G,546,Bentley,3.9,3.9,Wolves,1,0.06,2,0.09,4,0.14,3,0.25,4,0.16,5,0.15,4,0.15,4,0.14,0.00
D,547,Bolla,4.0,4.0,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,548,H.Bueno,4.4,4.4,Wolves,9,0.40,10,0.41,9,0.35,7,0.54,7,0.33,7,0.20,6,0.30,6,0.19,0.00
M,549,Chiquinho,4.5,4.5,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,550,Cundle,4.5,4.5,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,551,Dawson,4.5,4.5,Wolves,17,0.55,33,1.07,73,2.17,87,4.52,85,3.22,85,0.91,86,3.24,84,0.98,0.01
F,552,Fábio Silva,5.2,5.2,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,553,Giles,4.2,4.2,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,554,Guedes,5.4,5.4,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,555,Hodge,4.4,4.4,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,556,Hoever,4.0,4.0,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,557,Hee Chan,5.4,5.4,Wolves,0,0.00,0,0.00,0,0.00,50,4.83,67,4.29,80,2.73,78,4.25,77,2.97,0.08
F,558,Raúl,5.0,5.0,Fulham,10,0.63,11,0.71,12,0.72,13,0.79,16,1.02,13,0.84,14,0.73,15,0.97,0.00
M,559,João Gomes,4.9,4.9,Wolves,85,2.47,82,2.38,80,2.21,79,4.26,77,2.44,81,1.85,76,2.27,77,1.84,0.00
D,560,J.Otto,4.3,4.3,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,561,Jordão,4.3,4.3,Wolves,1,0.07,2,0.14,4,0.23,4,0.44,3,0.17,7,0.29,2,0.13,2,0.13,0.00
F,562,Kalajdžić,4.9,4.9,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,563,Kilman,4.5,4.5,Wolves,91,2.96,88,2.80,85,2.49,83,4.37,82,3.14,81,0.90,82,3.13,80,0.97,0.01
G,564,King,3.9,3.9,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,565,Mario Jr.,4.9,4.9,Wolves,88,2.71,84,2.59,77,2.22,71,3.97,81,2.68,82,1.90,79,2.44,80,1.94,0.00
M,566,Matheus N.,4.7,4.7,Man City,18,0.97,22,1.10,22,1.35,22,1.11,22,1.15,20,1.15,21,2.08,21,1.19,0.00
M,567,Neto,5.6,5.6,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,26,1.35,59,2.18,0.01
M,568,Podence,5.3,5.3,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,569,José Sá,5.0,5.0,Wolves,93,3.50,93,3.43,91,3.33,92,6.45,91,3.60,90,2.91,91,3.69,90,2.90,0.00
M,570,Sarabia,4.7,4.7,Wolves,81,4.41,80,4.35,81,3.75,73,6.78,71,4.26,70,2.44,62,3.33,53,2.13,0.05
G,571,Šarkić,4.0,4.0,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,572,N.Semedo,4.5,4.5,Wolves,90,2.92,86,2.76,84,2.47,82,4.37,80,3.11,78,0.91,79,3.07,80,0.99,0.00
D,573,Toti,4.4,4.4,Wolves,83,2.81,75,2.52,61,1.96,57,3.30,60,2.40,57,0.77,59,2.40,59,0.84,0.00
M,574,Boubacar Traore,4.3,4.3,Wolves,8,0.29,11,0.42,15,0.52,14,0.98,10,0.39,21,0.66,10,0.39,9,0.31,0.00
D,575,Lockyer,4.2,4.2,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,576,Robinson,4.3,4.3,Sheffield Utd,81,0.57,80,1.34,78,1.67,78,4.04,74,1.16,74,2.23,78,1.62,67,1.10,0.00
D,577,Ogbonna,4.3,4.3,West Ham,3,0.10,4,0.14,5,0.19,6,0.21,6,0.17,7,0.18,8,0.33,11,0.19,0.00
M,578,Nelson,4.8,4.8,Arsenal,8,0.63,10,0.60,10,0.67,9,1.18,11,0.62,11,0.77,11,0.64,11,0.72,0.00
G,579,Lonergan,3.9,3.9,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,580,Karius,3.9,3.9,Newcastle,2,0.07,3,0.09,3,0.11,3,0.10,2,0.07,0,0.00,0,0.00,0,0.00,0.00
D,581,Dummett,3.9,3.9,Newcastle,12,0.40,7,0.22,8,0.21,8,0.28,11,0.43,10,0.34,10,0.52,9,0.25,0.00
M,582,Mpanzu,4.6,4.6,Luton,77,2.00,72,2.27,72,1.85,60,2.04,51,1.66,36,1.31,33,1.16,24,0.93,0.00
M,583,Solomon,5.1,5.1,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,3,0.23,0.00
D,584,Pau,4.6,4.6,Aston Villa,88,1.26,85,3.15,84,1.46,82,2.98,82,2.52,82,2.28,81,1.83,81,2.87,0.11
D,585,J.Timber,4.6,4.6,Arsenal,2,0.09,7,0.27,15,0.66,21,1.87,24,0.83,30,1.50,33,1.27,39,2.04,0.00
M,586,Chong,4.7,4.7,Luton,58,1.88,66,2.92,71,2.17,63,2.98,59,2.42,54,2.37,54,2.18,46,2.15,0.00
M,587,Slimane,4.7,4.7,Sheffield Utd,6,0.31,10,0.45,12,0.52,12,1.10,10,0.46,9,0.45,10,0.44,10,0.46,0.00
D,588,Young,4.4,4.4,Everton,22,0.76,24,1.17,20,0.67,23,1.86,26,1.18,23,0.99,26,1.39,27,0.71,0.00
M,589,Ângelo,5.0,5.0,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,590,Cunha,5.5,5.5,Wolves,66,3.62,83,4.35,83,3.71,81,7.02,79,4.56,78,2.53,76,3.72,73,2.70,0.00
M,591,Willian,5.3,5.3,Fulham,63,3.09,63,3.24,63,2.99,63,2.82,63,3.44,62,3.13,63,2.50,60,3.25,0.00
D,592,Larouci,4.3,4.3,Sheffield Utd,22,0.49,28,0.81,35,1.10,33,2.38,29,0.78,29,1.16,32,0.99,27,0.76,0.00
F,593,T.Bénie,5.1,5.1,Sheffield Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,594,Amdouni,5.3,5.3,Burnley,42,2.21,44,1.95,43,2.22,45,2.28,44,1.93,44,2.29,44,1.90,43,2.26,0.00
D,595,Kerkez,4.4,4.4,Bournemouth,37,1.67,26,1.04,15,0.58,14,1.03,15,0.62,16,0.43,15,0.64,15,0.48,0.07
G,596,Trafford,4.5,4.5,Burnley,3,0.12,3,0.11,5,0.19,6,0.23,6,0.18,7,0.23,7,0.22,9,0.32,0.00
G,597,Onana,4.9,4.9,Man Utd,94,3.19,94,3.09,92,3.25,92,4.10,91,3.79,91,3.51,91,6.38,91,3.21,0.06
D,598,Doherty,4.3,4.3,Wolves,47,1.99,45,1.88,46,1.74,36,2.56,33,1.67,35,0.68,32,1.52,29,0.65,0.00
M,599,Diaby,6.3,6.3,Aston Villa,59,2.35,37,2.46,32,1.48,32,2.23,32,2.02,34,1.95,35,1.92,36,2.06,0.00
M,600,Redmond,4.7,4.7,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,601,Danjuma,5.2,5.2,Everton,3,0.18,8,0.65,22,1.30,24,3.14,25,1.88,25,1.81,25,2.06,25,1.26,0.00
D,602,Kaboré,4.0,4.0,Luton,80,0.83,75,2.01,0,0.00,66,2.09,62,1.63,59,1.82,61,1.37,56,1.68,0.01
M,603,Barnes,6.2,6.2,Newcastle,75,4.37,42,2.44,45,2.79,45,2.65,45,3.42,46,3.04,36,4.41,31,1.94,0.00
D,604,Aina,4.5,4.5,Nott'm Forest,72,2.61,63,1.32,60,2.47,59,1.80,59,1.24,55,2.25,58,1.74,58,2.14,0.00
M,605,Koleosho,4.8,4.8,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,14,0.78,0.00
D,606,Igor,4.3,4.3,Brighton,32,0.97,35,0.84,35,1.25,34,0.79,34,0.96,34,1.04,33,1.79,35,1.03,0.00
G,607,Radu,4.3,4.3,Bournemouth,0,0.00,0,0.00,1,0.04,0,0.00,0,0.00,1,0.05,2,0.07,2,0.06,0.00
M,608,Bruun Larsen,4.8,4.8,Burnley,57,3.15,46,2.18,46,2.50,45,2.50,48,2.18,46,2.50,48,2.12,44,2.50,0.00
M,609,Maatsen,5.1,5.1,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
