Pos,ID,Name,BV,SV,Team,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts,Elite%
F,39,Davis,4.9,4.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,40,Dendoncker,4.9,4.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,41,Diego Carlos,4.4,4.4,Aston Villa,18,0.71,19,0.37,19,0.74,20,0.40,21,0.77,21,0.64,22,0.62,21,0.53,23,0.82,0.00
D,42,Digne,4.6,4.6,Aston Villa,46,2.27,47,1.08,48,2.35,46,1.09,47,2.11,47,1.78,46,1.55,47,1.40,49,2.05,0.04
M,43,Douglas Luiz,5.7,5.6,Aston Villa,91,4.36,89,2.73,82,4.14,78,2.49,84,4.11,85,3.57,84,3.27,84,3.21,84,3.45,0.07
F,44,Duran,5.0,5.0,Aston Villa,11,0.80,12,0.58,9,0.71,9,0.50,10,0.76,10,0.72,9,0.61,10,0.66,11,0.74,0.00
D,45,Hause,3.9,3.9,Aston Villa,1,0.06,2,0.05,2,0.10,2,0.03,3,0.12,3,0.11,3,0.11,4,0.12,4,0.16,0.00
M,46,Iroegbunam,4.4,4.4,Aston Villa,53,2.20,49,1.54,27,1.27,24,0.93,24,1.13,22,1.00,22,0.96,23,0.99,23,0.99,0.00
M,47,Kamara,5.0,5.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,48,Konsa,4.5,4.5,Aston Villa,88,3.45,85,1.31,86,3.37,83,1.33,81,2.82,81,2.35,82,2.06,82,1.75,81,2.76,0.14
G,49,Martinez,5.3,5.3,Aston Villa,93,3.71,93,3.01,92,3.65,92,2.95,91,3.40,91,3.26,91,3.21,91,3.03,91,3.49,0.14
M,50,McGinn,5.4,5.4,Aston Villa,0,0.00,0,0.00,86,3.36,84,2.27,83,3.16,84,2.85,85,2.69,83,2.58,83,2.82,0.00
D,51,Mings,4.1,4.1,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,52,Nakamba,4.3,4.3,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,16,0.43,0.00
G,53,Olsen,3.9,3.9,Aston Villa,2,0.07,2,0.07,3,0.11,3,0.07,3,0.12,3,0.11,3,0.12,3,0.11,4,0.15,0.00
M,54,Philogene,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,55,J.Ramsey,5.9,5.9,Aston Villa,21,1.11,38,1.27,44,2.38,68,2.31,68,3.51,69,3.14,68,2.87,68,2.79,68,3.08,0.00
M,56,Sanson,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,57,Sinisalo,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,58,Tielemans,5.6,5.6,Aston Villa,81,3.41,80,2.35,74,3.28,72,2.27,70,3.03,70,2.76,69,2.55,69,2.50,70,2.72,0.00
M,59,Bertrand Traoré,5.0,5.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,60,Watkins,9.0,8.7,Aston Villa,90,5.56,90,3.21,86,5.71,85,3.25,84,5.45,84,4.70,84,4.31,83,4.18,83,4.48,0.98
F,61,Wesley,5.0,5.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,62,Anthony,4.9,4.9,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,63,Billing,5.1,5.1,Bournemouth,4,0.25,6,0.32,6,0.36,8,0.43,8,0.39,9,0.45,9,0.38,10,1.07,10,0.49,0.00
M,64,Brooks,4.7,4.7,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,65,Christie,5.0,5.0,Bournemouth,81,3.29,78,3.33,75,3.21,73,3.08,72,2.67,72,3.02,73,2.23,71,5.99,70,2.45,0.00
M,66,L.Cook,5.0,5.0,Bournemouth,83,2.63,80,2.65,77,2.49,73,2.35,72,2.12,71,2.29,71,1.84,72,4.66,72,2.03,0.00
M,67,Siriki,4.5,4.5,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,68,Fredericks,4.3,4.3,Bournemouth,2,0.07,2,0.08,2,0.08,2,0.08,2,0.06,3,0.10,3,0.08,4,0.24,4,0.10,0.00
D,69,Hill,4.0,4.0,Bournemouth,6,0.18,6,0.20,6,0.18,3,0.09,3,0.05,3,0.08,4,0.06,4,0.23,4,0.09,0.00
D,70,Kelly,4.5,4.5,Bournemouth,25,0.86,34,1.31,49,1.55,74,2.10,76,1.57,73,2.17,73,1.07,72,4.62,69,1.38,0.00
M,71,Kilkenny,4.3,4.3,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,72,Kluivert,4.6,4.6,Bournemouth,45,2.49,43,2.44,44,2.50,43,2.41,43,2.14,41,2.32,42,1.67,42,4.70,40,1.84,0.00
M,73,Lowe,4.9,4.9,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,74,Marcondes,4.3,4.3,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,75,Mepham,4.3,4.3,Bournemouth,60,1.97,46,1.73,30,0.99,12,0.35,14,0.32,14,0.40,15,0.26,13,0.83,16,0.35,0.00
F,76,Moore,4.6,4.6,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,77,Neto,4.7,4.7,Bournemouth,87,3.29,86,3.40,83,3.07,80,2.83,82,2.71,82,2.92,81,2.58,80,5.89,78,2.57,0.08
M,78,O.Dango,4.7,4.7,Bournemouth,33,1.93,31,1.89,27,1.69,17,1.07,19,1.10,20,1.24,20,0.97,21,2.64,21,1.13,0.00
M,79,Pearson,4.5,4.5,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,80,Randolph,4.0,4.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,81,Rothwell,4.8,4.8,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,82,Semenyo,4.5,4.5,Bournemouth,74,3.23,70,3.22,69,3.27,66,3.08,67,2.78,65,3.02,64,2.18,64,5.88,64,2.49,0.00
D,83,Senesi,4.5,4.5,Bournemouth,18,0.63,37,1.40,54,1.72,79,2.27,78,1.60,81,2.40,80,1.07,80,5.16,79,1.47,0.01
D,84,Smith,4.4,4.4,Bournemouth,79,2.69,71,2.73,65,2.11,57,1.71,55,1.22,54,1.67,52,0.84,53,3.55,53,1.12,0.00
F,85,Solanke,7.2,7.2,Bournemouth,91,5.05,88,5.10,85,5.05,83,4.94,83,4.24,82,4.80,82,3.15,81,9.32,81,3.77,0.11
M,86,Tavernier,5.5,5.5,Bournemouth,68,3.37,68,3.49,63,3.25,63,3.15,63,2.76,60,3.03,59,2.11,58,5.87,60,2.44,0.00
M,87,Hamed Traorè,4.7,4.7,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,88,Travers,4.0,4.0,Bournemouth,7,0.28,8,0.33,11,0.42,14,0.47,12,0.38,12,0.42,13,0.43,14,0.99,16,0.52,0.00
D,89,Zabarnyi,4.5,4.5,Bournemouth,92,2.78,87,2.99,86,2.42,85,2.16,84,1.52,84,2.22,82,1.01,82,4.80,82,1.38,0.09
D,90,Ajer,4.4,4.4,Brentford,82,2.11,72,2.01,71,1.36,63,2.69,61,1.79,60,1.56,60,1.77,61,1.38,61,1.58,0.01
G,91,Balcombe,3.9,3.9,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,92,Baptiste,4.3,4.3,Brentford,16,0.74,13,0.61,13,0.56,13,0.65,13,0.60,13,0.55,12,0.57,13,0.56,12,0.57,0.00
D,93,Bech,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,94,Bidstrup,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,95,Canós,5.0,5.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,96,Collins,4.5,4.5,Brentford,63,1.66,54,1.55,46,0.93,38,1.66,37,1.16,40,1.08,39,1.20,37,0.90,39,1.06,0.01
G,97,Cox,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,98,Damsgaard,4.8,4.8,Brentford,21,1.08,20,1.06,21,0.98,20,1.18,21,1.11,19,0.92,20,1.08,20,1.00,21,1.12,0.00
M,99,Dasilva,4.7,4.7,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,100,Dervişoğlu,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,101,Flekken,4.6,4.6,Brentford,94,3.29,93,3.34,92,3.04,92,3.85,91,3.33,91,3.21,91,3.32,91,3.08,90,3.13,0.70
D,102,Goode,3.9,3.9,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,103,Henry,4.3,4.3,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,104,Hickey,4.4,4.4,Brentford,0,0.00,12,0.37,25,0.55,50,2.25,79,2.44,79,2.14,79,2.44,78,1.83,76,2.08,0.00
M,105,Janelt,5.3,5.3,Brentford,75,2.24,70,2.16,67,1.91,64,2.34,62,1.98,63,1.87,61,1.94,61,1.83,63,1.96,0.00
M,106,Jensen,5.4,5.4,Brentford,56,2.17,48,1.92,47,1.71,50,2.29,47,1.91,44,1.63,43,1.77,44,1.66,44,1.80,0.00
M,107,Lewis-Potter,4.7,4.7,Brentford,63,2.98,34,1.77,32,1.55,28,1.83,24,1.38,27,1.34,23,1.33,24,1.27,23,1.33,0.00
M,108,Mbeumo,6.7,6.7,Brentford,57,3.06,79,4.12,77,3.45,74,4.98,73,4.12,74,3.38,73,4.07,71,3.49,73,4.00,0.01
D,109,Mee,4.8,4.8,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,110,Nørgaard,5.3,5.3,Brentford,44,1.33,60,1.83,69,1.92,74,2.63,74,2.29,77,2.16,78,2.38,77,2.19,77,2.29,0.00
M,111,Onyeka,4.9,4.9,Brentford,69,2.22,65,2.17,61,1.89,53,2.15,55,1.91,58,1.84,57,2.00,57,1.84,54,1.87,0.00
D,112,Pinnock,4.5,4.5,Brentford,25,0.68,43,1.27,56,1.16,82,3.70,83,2.58,83,2.28,82,2.61,81,1.94,82,2.23,0.00
G,113,Raya,5.0,5.0,Arsenal,93,3.32,92,4.41,91,3.77,91,3.84,90,3.97,88,3.35,88,3.92,88,7.25,87,4.13,0.03
D,114,Roerslev,4.4,4.4,Brentford,78,2.55,58,2.09,48,1.33,36,1.90,24,0.96,26,0.94,24,0.99,24,0.83,26,0.96,0.02
M,115,Schade,5.2,5.2,Brentford,0,0.00,0,0.00,3,0.17,6,0.40,8,0.51,12,0.62,10,0.57,10,0.56,10,0.58,0.00
G,116,Strakosha,3.9,3.9,Brentford,1,0.05,2,0.07,3,0.10,3,0.14,4,0.16,4,0.14,4,0.14,4,0.13,5,0.16,0.00
F,117,Toney,8.2,8.2,Brentford,90,4.73,87,4.68,83,3.85,82,5.52,82,4.59,82,3.71,82,4.62,82,4.06,82,4.58,0.94
M,118,Trevitt,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,119,Wissa,5.7,5.7,Brentford,51,2.33,39,1.91,38,1.73,36,2.10,36,1.88,39,1.68,36,1.86,36,1.71,35,1.78,0.01
M,120,Yarmoliuk,4.3,4.3,Brentford,11,0.49,11,0.47,11,0.46,12,0.52,12,0.51,12,0.49,13,0.56,12,0.49,12,0.52,0.00
D,121,Zanka,4.3,4.3,Brentford,80,2.05,72,1.97,68,1.27,63,2.69,62,1.79,59,1.52,60,1.77,59,1.30,59,1.52,0.00
M,122,Adingra,5.0,5.0,Brighton,70,2.70,64,3.16,63,2.56,61,3.15,61,2.31,59,5.54,57,2.96,58,2.61,56,2.87,0.00
M,123,Alzate,4.4,4.4,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,124,Ayari,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,125,Buonanotte,4.7,4.7,Brighton,51,1.93,48,2.24,50,1.95,45,2.17,44,1.65,45,4.06,44,2.13,44,1.91,40,1.94,0.00
M,126,Caicedo,4.5,4.5,Chelsea,85,2.73,82,2.36,74,2.32,68,2.01,70,1.95,73,3.83,77,2.30,76,3.90,75,2.26,0.00
F,127,Connolly,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,128,Dahoud,4.8,4.8,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,129,Dunk,5.2,5.2,Brighton,88,1.40,88,2.89,85,2.03,85,3.25,85,1.61,84,4.80,82,2.64,82,2.00,81,2.66,0.00
M,130,Enciso,5.0,5.0,Brighton,50,2.05,51,2.57,50,2.11,47,2.53,47,1.87,44,4.37,48,2.54,45,2.13,43,2.29,0.00
D,131,Estupiñan,4.9,4.9,Brighton,65,1.39,63,2.52,58,1.75,54,2.48,56,1.41,56,4.04,53,2.11,53,1.68,53,2.14,0.02
F,132,Ferguson,5.7,5.7,Brighton,45,2.00,42,2.34,40,1.87,39,2.26,37,1.65,38,4.08,39,2.27,40,2.06,38,2.21,0.00
M,133,Gilmour,4.8,4.8,Brighton,83,2.11,79,2.34,78,2.09,76,2.36,76,1.95,75,4.31,74,2.24,73,2.06,73,2.21,0.00
M,134,Gross,6.5,6.5,Brighton,87,3.22,85,4.00,83,3.18,82,3.90,82,2.81,82,7.05,80,3.85,80,3.31,78,3.75,0.00
F,135,João Pedro,5.2,5.2,Brighton,20,0.93,32,1.84,38,1.83,58,3.48,64,2.78,64,7.11,65,4.05,62,3.32,61,3.80,0.00
D,136,Karbownik,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,137,Kozłowski,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,138,Lallana,4.9,4.9,Brighton,15,0.69,15,0.75,17,0.75,15,0.75,14,0.57,14,1.35,16,0.83,16,0.79,14,0.73,0.00
D,139,Lamptey,3.9,3.9,Brighton,57,1.21,56,2.20,52,1.56,52,2.34,50,1.25,48,3.47,46,1.82,46,1.45,43,1.74,0.00
M,140,March,6.1,6.1,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,141,McGill,3.9,3.9,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,142,Milner,4.8,4.8,Brighton,12,0.45,17,0.70,25,0.92,42,1.62,44,1.43,44,3.20,44,1.68,40,1.45,37,1.49,0.00
M,143,Mitoma,6.4,6.4,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,20,0.96,0.00
M,144,Moder,4.4,4.4,Brighton,12,0.51,16,0.74,14,0.62,14,0.69,12,0.51,14,1.27,14,0.68,15,0.66,14,0.69,0.00
G,145,Sanchez,4.5,4.5,Chelsea,5,0.22,7,0.24,9,0.36,10,0.40,11,0.39,11,0.76,10,0.39,13,0.88,13,0.50,0.00
M,146,Sarmiento,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,147,Scherpen,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,148,Steele,4.2,4.2,Brighton,37,1.24,38,1.46,36,1.28,39,1.59,39,1.31,38,2.78,38,1.44,38,1.33,37,1.39,0.00
F,149,Undav,5.5,5.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,150,Van Hecke,4.1,4.1,Brighton,87,1.27,84,2.65,82,1.84,78,2.86,79,1.43,78,4.31,77,2.34,79,1.82,78,2.43,0.00
D,151,Veltman,4.3,4.3,Brighton,29,0.62,29,1.05,31,0.86,29,1.20,29,0.68,29,1.86,29,1.02,27,0.79,25,0.91,0.00
G,152,Verbruggen,4.4,4.4,Brighton,58,1.90,57,2.12,59,1.99,56,2.20,56,1.77,57,3.98,56,2.04,57,1.95,58,2.13,0.00
D,153,Webster,4.2,4.2,Brighton,24,0.53,28,1.00,30,0.85,28,1.15,28,0.66,28,1.80,28,1.00,27,0.78,28,1.01,0.00
F,154,Welbeck,5.7,5.7,Brighton,52,2.28,52,2.84,50,2.25,45,2.55,46,1.94,45,4.79,44,2.54,46,2.33,44,2.50,0.00
F,155,Zeqiri,4.4,4.4,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,156,Agyei,4.2,4.2,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,157,Al-Dakhil,3.8,3.8,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,158,Bastien,4.9,4.9,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,159,Benson,5.2,5.2,Burnley,13,0.62,6,0.42,7,0.43,8,0.49,8,0.53,10,0.54,10,0.57,12,0.62,11,0.62,0.00
D,160,Beyer,3.9,3.9,Burnley,24,0.40,36,1.07,53,1.26,77,1.92,79,2.52,76,1.31,76,1.74,77,0.98,77,2.43,0.00
M,161,Brownhill,4.7,4.7,Burnley,51,1.60,51,1.89,53,1.70,52,1.83,54,1.98,54,1.69,51,1.78,56,1.70,53,1.95,0.00
M,162,Churlinov,4.4,4.4,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,163,Cork,4.8,4.8,Burnley,1,0.04,2,0.08,2,0.06,1,0.06,2,0.09,2,0.09,2,0.10,3,0.11,3,0.11,0.00
M,164,Costelloe,4.5,4.5,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,165,Cullen,5.0,5.0,Burnley,67,1.77,66,2.04,64,1.77,65,1.89,64,1.96,63,1.70,65,1.89,63,1.64,65,1.99,0.00
D,166,Egan-Riley,3.9,3.9,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,167,Ekdal,3.9,3.9,Burnley,10,0.22,11,0.35,9,0.25,6,0.16,7,0.23,7,0.18,9,0.26,7,0.14,8,0.29,0.00
F,168,Foster,4.7,4.7,Burnley,37,1.59,59,2.76,58,2.23,57,2.48,57,2.60,56,2.21,57,2.52,54,2.12,54,2.51,0.00
