Pos,ID,Name,BV,SV,Team,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts,Elite%
F,132,Ferguson,5.7,5.7,Brighton,40,1.83,39,2.14,41,1.87,38,2.18,40,1.75,39,4.15,39,2.27,39,2.03,36,2.14,0.00
M,133,Gilmour,4.8,4.8,Brighton,83,2.12,79,2.29,78,2.08,75,2.34,75,1.95,73,4.25,71,2.19,72,2.04,71,2.19,0.00
M,134,Gross,6.5,6.5,Brighton,86,3.16,85,3.81,84,3.10,84,3.94,83,2.86,81,7.02,80,3.90,81,3.38,81,3.94,0.00
F,135,João Pedro,5.2,5.2,Brighton,35,1.60,44,2.51,52,2.44,66,3.89,63,2.78,62,6.93,63,3.97,60,3.27,60,3.77,0.00
D,136,Karbownik,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,137,Kozłowski,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,138,Lallana,4.9,4.9,Brighton,13,0.56,15,0.72,14,0.63,13,0.66,14,0.58,15,1.43,16,0.83,15,0.71,14,0.70,0.00
D,139,Lamptey,3.9,3.9,Brighton,57,1.26,53,1.96,51,1.53,53,2.42,51,1.31,48,3.49,48,1.91,45,1.46,45,1.84,0.00
M,140,March,6.1,6.1,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,141,McGill,3.9,3.9,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,142,Milner,4.8,4.8,Brighton,21,0.77,29,1.12,35,1.24,43,1.66,42,1.41,43,3.17,43,1.68,41,1.48,39,1.56,0.00
M,143,Mitoma,6.4,6.4,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,23,1.14,0.00
M,144,Moder,4.4,4.4,Brighton,12,0.52,13,0.60,13,0.58,13,0.63,12,0.51,15,1.36,14,0.70,14,0.64,13,0.64,0.00
G,145,Sanchez,4.5,4.5,Chelsea,3,0.15,6,0.24,8,0.32,9,0.35,11,0.35,10,0.69,13,0.50,12,0.84,13,0.50,0.00
M,146,Sarmiento,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,147,Scherpen,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,148,Steele,4.1,4.1,Brighton,37,1.25,37,1.39,37,1.31,38,1.56,38,1.26,38,2.77,40,1.52,38,1.36,38,1.44,0.00
F,149,Undav,5.5,5.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,150,Van Hecke,4.1,4.1,Brighton,87,1.35,85,2.44,80,1.82,81,2.98,79,1.50,78,4.35,79,2.45,78,1.85,78,2.50,0.00
D,151,Veltman,4.3,4.3,Brighton,27,0.60,26,0.88,28,0.80,26,1.06,29,0.70,29,1.90,28,1.03,25,0.75,23,0.84,0.00
G,152,Verbruggen,4.4,4.4,Brighton,58,1.89,58,2.09,58,1.97,57,2.23,57,1.86,57,4.01,55,2.00,56,1.93,57,2.11,0.00
D,153,Webster,4.2,4.2,Brighton,24,0.55,26,0.88,27,0.77,28,1.14,28,0.68,30,1.93,28,1.01,28,0.82,25,0.93,0.00
F,154,Welbeck,5.7,5.7,Brighton,54,2.33,51,2.72,46,2.08,46,2.61,45,1.91,45,4.82,44,2.58,46,2.39,43,2.50,0.00
F,155,Zeqiri,4.4,4.4,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,156,Agyei,4.2,4.2,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,157,Al-Dakhil,3.8,3.8,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,158,Bastien,4.9,4.9,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,159,Benson,5.2,5.2,Burnley,12,0.60,6,0.42,8,0.44,9,0.51,9,0.54,10,0.54,10,0.56,11,0.54,10,0.61,0.00
D,160,Beyer,3.9,3.9,Burnley,21,0.36,35,1.03,48,1.14,76,1.87,79,2.51,76,1.33,77,1.77,77,0.97,77,2.44,0.00
M,161,Brownhill,4.7,4.7,Burnley,51,1.60,51,1.89,52,1.69,51,1.79,51,1.89,54,1.71,53,1.84,55,1.68,50,1.87,0.00
M,162,Churlinov,4.4,4.4,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,163,Cork,4.8,4.8,Burnley,1,0.05,2,0.07,2,0.09,2,0.06,2,0.08,2,0.08,2,0.09,3,0.10,2,0.07,0.00
M,164,Costelloe,4.5,4.5,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,165,Cullen,5.0,5.0,Burnley,68,1.79,65,1.99,67,1.83,66,1.91,65,1.99,64,1.72,65,1.88,63,1.66,65,2.00,0.00
D,166,Egan-Riley,3.9,3.9,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,167,Ekdal,3.9,3.9,Burnley,10,0.24,11,0.34,11,0.32,5,0.16,6,0.19,5,0.13,7,0.20,5,0.12,7,0.24,0.00
F,168,Foster,4.7,4.7,Burnley,40,1.67,56,2.60,56,2.18,58,2.52,56,2.58,56,2.23,58,2.56,56,2.16,54,2.52,0.00
G,169,Franchi,3.9,3.9,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,170,Gudmundsson,4.8,4.8,Burnley,18,0.86,11,0.61,13,0.63,14,0.70,14,0.77,16,0.78,16,0.85,16,0.77,15,0.79,0.00
D,171,McNally,4.0,4.0,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,172,Muric,4.3,4.3,Burnley,2,0.07,2,0.09,3,0.09,3,0.10,4,0.14,5,0.15,5,0.17,5,0.16,5,0.18,0.00
D,173,O'Shea,4.4,4.4,Burnley,77,1.22,67,1.97,59,1.38,50,1.26,47,1.53,50,0.89,51,1.20,49,0.65,48,1.54,0.00
F,174,Obafemi,4.9,4.9,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,175,Peacock-Farrell,4.0,4.0,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,176,Roberts,4.3,4.3,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,177,Rodriguez,5.3,5.3,Burnley,18,0.97,3,0.26,4,0.31,4,0.30,5,0.36,4,0.29,5,0.37,5,0.36,5,0.38,0.00
D,178,Taylor,4.0,4.0,Burnley,88,1.37,84,2.48,82,1.93,79,1.99,78,2.55,77,1.37,77,1.83,76,1.02,76,2.48,0.10
D,179,Thomas,4.0,4.0,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,180,Twine,4.9,4.9,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,181,Vigouroux,3.9,3.9,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,182,Vitinho,4.4,4.4,Burnley,66,1.28,59,2.00,58,1.56,56,1.65,59,2.18,57,1.21,55,1.53,58,0.95,53,1.96,0.06
F,183,Weghorst,5.5,5.5,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,184,Zaroury,4.6,4.6,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,185,Ampadu,4.0,4.0,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,186,Andrey,4.2,4.2,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,187,Arrizabalaga,5.0,5.0,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,188,Aubameyang,6.5,6.5,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,189,Azpilicueta,4.5,4.5,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,190,Baba,4.0,4.0,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,191,B.Badiashile,4.4,4.4,Chelsea,29,1.44,25,0.90,26,1.22,19,0.80,20,0.61,23,1.36,22,0.91,22,1.37,21,0.84,0.00
G,192,Bettinelli,4.0,4.0,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,193,Broja,4.9,4.9,Fulham,14,0.96,15,0.89,16,1.06,17,0.99,17,0.96,18,1.19,17,1.03,18,0.91,19,1.23,0.00
D,194,Chalobah,4.3,4.3,Chelsea,10,0.48,12,0.41,11,0.50,8,0.34,7,0.24,7,0.45,9,0.35,9,0.55,9,0.36,0.00
D,195,Chilwell,5.4,5.4,Chelsea,67,4.31,62,2.95,58,3.48,52,2.87,52,2.31,50,4.08,49,2.69,50,3.97,48,2.59,0.01
M,196,Chukwuemeka,4.2,4.2,Chelsea,12,0.63,13,0.61,14,0.71,14,0.69,13,0.59,13,1.14,12,0.59,14,1.21,15,0.77,0.00
D,197,Colwill,4.7,4.7,Chelsea,22,1.07,38,1.36,50,2.28,69,2.98,67,2.07,66,3.88,65,2.70,64,3.80,66,2.65,0.00
D,198,Cucurella,4.8,4.8,Chelsea,24,1.29,21,0.87,21,1.07,16,0.74,12,0.47,13,0.94,13,0.62,14,1.01,14,0.64,0.00
M,199,Enzo,4.8,4.8,Chelsea,76,3.55,71,2.79,71,3.13,69,2.87,67,2.66,69,5.00,67,2.87,67,4.65,65,2.86,0.00
F,200,D.D.Fofana,5.0,5.0,Burnley,0,0.00,73,3.64,70,2.84,71,3.32,71,3.56,71,2.94,70,3.36,69,2.79,69,3.48,0.02
D,201,W.Fofana,4.4,4.4,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,202,Gallagher,5.4,5.4,Chelsea,75,3.46,74,2.90,73,3.20,74,3.03,73,2.85,71,5.04,71,3.01,70,4.80,70,3.03,0.00
D,203,Gusto,4.2,4.2,Chelsea,80,4.11,68,2.51,62,3.00,50,2.25,41,1.44,42,2.69,43,1.90,44,2.77,44,1.88,0.00
D,204,Hall,4.2,4.2,Newcastle,7,0.34,7,0.32,5,0.21,6,0.26,7,0.27,8,0.40,7,0.32,5,0.41,4,0.20,0.00
M,205,Hudson-Odoi,4.7,4.7,Nott'm Forest,50,2.36,48,2.19,48,1.91,47,2.22,46,1.93,44,1.68,45,2.19,45,1.96,45,2.10,0.00
D,206,James,5.3,5.3,Chelsea,0,0.00,13,0.60,21,1.21,45,2.39,61,2.52,61,4.64,60,3.21,58,4.33,59,3.07,0.00
F,207,Lukaku,6.8,6.8,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,208,Madueke,5.3,5.3,Chelsea,16,1.22,19,1.24,20,1.37,19,1.24,17,1.04,17,2.03,18,1.21,19,2.08,20,1.40,0.00
M,209,Mount,6.8,6.8,Man Utd,37,1.99,35,1.70,35,1.72,37,1.97,38,2.53,35,2.27,36,1.91,36,3.68,36,1.79,0.00
M,210,Mudryk,6.3,6.3,Chelsea,33,2.30,34,2.07,36,2.34,34,2.09,31,1.88,33,3.65,34,2.13,34,3.49,35,2.26,0.00
F,211,N.Jackson,6.8,6.8,Chelsea,75,4.92,58,3.34,49,3.10,51,2.94,65,3.70,64,6.65,66,3.99,65,6.15,64,4.00,0.00
F,212,Nkunku,7.2,7.2,Chelsea,27,1.92,43,2.63,52,3.36,56,3.39,53,3.24,53,5.73,52,3.30,51,5.14,52,3.45,0.00
M,213,Pulisic,5.5,5.5,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,214,M.Sarr,4.3,4.3,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,215,Slonina,4.0,4.0,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,216,Sterling,6.9,6.9,Chelsea,57,4.04,56,3.31,56,3.77,54,3.32,53,3.09,52,5.48,50,3.19,50,5.00,52,3.39,0.00
D,217,T.Silva,5.0,5.0,Chelsea,83,3.93,81,2.71,76,3.36,72,2.96,71,2.10,71,3.93,70,2.80,70,3.88,70,2.65,0.00
M,218,Ziyech,5.4,5.4,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,219,Ahamada,4.3,4.3,Crystal Palace,4,0.22,6,0.27,6,0.26,5,0.24,5,0.45,3,0.18,3,0.18,4,0.19,2,0.12,0.00
D,220,Andersen,4.7,4.7,Crystal Palace,91,2.66,86,2.17,85,1.37,83,1.05,82,4.87,82,1.97,81,2.28,80,2.24,81,2.21,0.00
M,221,J.Ayew,5.4,5.4,Crystal Palace,77,3.21,75,3.09,72,2.40,63,2.17,55,5.12,47,1.97,48,2.25,48,2.04,45,2.14,0.00
D,222,Clyne,4.3,4.3,Crystal Palace,9,0.26,13,0.36,17,0.35,18,0.33,18,1.17,19,0.53,12,0.36,9,0.27,9,0.23,0.00
M,223,C.Doucouré,4.9,4.9,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,20,0.63,0.00
M,224,Ebiowei,4.4,4.4,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,225,Edouard,5.4,5.4,Crystal Palace,46,2.20,48,2.26,50,1.92,45,1.79,41,4.27,38,1.79,39,2.02,39,1.85,37,2.01,0.00
M,226,Eze,6.0,6.0,Crystal Palace,85,4.35,81,4.08,80,3.24,77,3.05,75,8.31,75,3.45,72,3.92,73,3.45,73,3.96,0.00
G,227,Guaita,4.4,4.4,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,228,Guéhi,4.2,4.2,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,21,0.63,50,1.45,80,2.26,0.00
M,229,Hughes,4.9,4.9,Crystal Palace,32,1.23,35,1.28,31,1.07,33,1.10,33,2.46,30,1.07,31,1.18,28,1.03,24,0.95,0.00
G,230,Johnstone,4.4,4.4,Crystal Palace,94,3.46,92,3.23,90,2.90,90,2.88,90,6.62,90,3.12,88,3.17,88,3.21,89,3.17,0.00
M,231,Lerma,4.7,4.7,Crystal Palace,89,2.46,85,2.31,83,2.01,80,1.93,78,4.51,79,2.11,78,2.24,79,2.16,75,2.17,0.00
F,232,Mateta,4.9,4.9,Crystal Palace,80,3.43,77,3.30,76,2.64,74,2.61,70,6.57,68,2.83,66,3.14,65,2.76,66,3.18,0.00
G,233,Matthews,3.9,3.9,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,234,Mitchell,4.5,4.5,Crystal Palace,84,2.58,81,2.14,79,1.38,76,1.06,76,4.74,78,1.98,75,2.20,72,2.13,72,2.07,0.00
D,235,O'Brien,4.0,4.0,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,236,Olise,5.6,5.6,Crystal Palace,0,0.00,0,0.00,0,0.00,26,0.96,53,5.20,75,3.13,74,3.60,76,3.26,74,3.61,0.00
F,237,Plange,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,238,C.Richards,3.9,3.9,Crystal Palace,91,2.68,88,2.21,85,1.39,85,1.07,84,4.97,83,2.00,78,2.21,75,2.13,71,1.95,0.00
M,239,Riedewald,4.3,4.3,Crystal Palace,2,0.09,4,0.14,5,0.17,5,0.18,6,0.41,4,0.16,6,0.21,5,0.19,3,0.11,0.00
M,240,Schlupp,4.8,4.8,Crystal Palace,33,1.47,36,1.55,37,1.40,35,1.34,33,3.04,30,1.32,29,1.36,28,1.24,27,1.30,0.00
D,241,Tomkins,4.0,4.0,Crystal Palace,13,0.42,22,0.65,25,0.54,27,0.48,26,1.78,21,0.60,15,0.47,5,0.15,3,0.07,0.00
D,242,Ward,4.5,4.5,Crystal Palace,72,2.27,69,1.88,70,1.25,68,0.97,67,4.25,64,1.66,58,1.74,47,1.46,40,1.24,0.00
G,243,Whitworth,3.9,3.9,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,244,André Gomes,4.4,4.4,Everton,14,0.59,13,0.54,14,0.63,14,0.55,16,1.30,16,0.71,16,0.67,17,0.81,17,0.63,0.00
D,245,Branthwaite,4.2,4.2,Everton,91,2.36,86,1.94,84,3.60,83,1.77,81,4.85,81,3.02,79,2.64,80,3.67,81,1.31,0.01
F,246,Calvert-Lewin,5.8,5.8,Everton,43,2.46,41,2.27,41,2.76,42,2.08,42,4.78,41,2.64,41,2.52,40,2.86,41,1.74,0.00
D,247,Coleman,4.4,4.4,Everton,11,0.40,13,0.41,14,0.67,15,0.46,16,1.24,19,0.82,17,0.68,19,0.98,18,0.47,0.00
M,248,Dele,4.8,4.8,Everton,0,0.00,0,0.00,0,0.00,1,0.07,3,0.36,4,0.25,4,0.25,5,0.36,5,0.25,0.00
M,249,A.Doucoure,5.5,5.5,Everton,80,2.82,78,2.63,74,3.16,73,2.32,73,5.27,73,2.91,72,2.74,70,3.17,71,2.01,0.00
M,250,Garner,4.9,4.9,Everton,83,2.53,81,2.38,80,2.95,81,2.25,79,4.97,78,2.69,79,2.58,78,3.03,78,1.97,0.00
M,251,Gbamin,4.4,4.4,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,252,Godfrey,4.3,4.3,Everton,57,1.79,57,1.57,57,2.76,56,1.46,53,3.80,54,2.28,53,2.07,51,2.67,53,1.06,0.00
M,253,Gray,5.3,5.3,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,254,Gana,4.8,4.8,Everton,43,1.37,51,1.54,56,1.97,56,1.62,54,3.38,55,1.84,54,1.75,53,1.94,54,1.47,0.00
D,255,Holgate,4.0,4.0,Sheffield Utd,52,1.38,54,0.66,54,1.21,54,1.31,58,3.13,57,0.99,55,1.79,0,0.00,51,1.03,0.00
M,256,Iwobi,5.3,5.3,Fulham,76,3.75,74,3.11,73,3.33,69,2.82,68,2.64,71,3.37,69,2.94,70,2.42,69,3.18,0.00
D,257,Keane,4.3,4.3,Everton,7,0.21,13,0.37,16,0.71,16,0.43,19,1.35,18,0.73,21,0.84,21,1.06,19,0.44,0.00
F,258,Maupay,4.9,4.9,Brentford,17,1.01,11,0.69,12,0.69,13,0.89,12,0.76,0,0.00,13,0.81,13,0.73,15,0.92,0.00
M,259,McNeil,5.4,5.4,Everton,87,3.59,86,3.31,84,4.15,83,2.96,82,6.82,81,3.83,82,3.64,81,4.24,81,2.51,0.00
